,0,1
677,幫忙,3
678,爸媽,3
679,其實,3
680,照,3
681,下去,3
682,全家人,3
683,厲鬼,3
684,久,3
685,主動,3
686,反應,3
687,iPhone8,3
688,隨,3
689,破門,3
690,正式,3
691,失,3
692,難過,3
693,出面,3
694,一人,3
695,路,3
696,近況,3
697,好友,3
698,公車,3
699,借,3
700,偷吃,3
701,餓,3
702,抱怨,3
703,逮捕,3
704,機,3
705,館長,3
706,600,3
707,專業,3
708,喝,3
709,),3
710,炫耀,3
711,褲子,3
712,便宜,3
713,爆笑,3
714,一切都是,3
715,Ｘ,3
716,阿扁,3
717,住,3
718,25,3
719,神人,3
720,舊照,3
721,拍手叫好,3
722,熱油鍋,3
723,麵,3
724,台北,3
725,級,3
726,500,3
727,可,3
728,商店,3
729,電話,3
730,男生,3
731,年來,3
732,女學生,3
733,詐,3
734,自稱,3
735,岳母,3
736,媽,3
737,國道,3
738,來襲,3
739,喊,3
740,）,3
741,宣布,3
742,證據,3
743,放,3
744,紫衣,3
745,低,3
746,離婚,3
747,有片,3
748,殺害,3
749,黑道,3
750,綁,3
751,P,3
752,27,3
753,完全,3
754,關,3
755,令,3
756,1000,3
757,婚,3
758,公開,3
759,明年,3
760,飯,3
761,因此,3
762,不到,3
763,站,3
764,飆,3
765,選手,3
766,看似,3
767,位,3
768,校園,3
769,(,3
770,一位,3
771,親友,3
772,揭發,3
773,帶著,3
774,獲,3
775,打工,3
776,北韓,3
777,烤肉,3
778,這名,3
779,判,3
780,翻白眼,3
781,女婿,3
782,鬼,3
783,姐姐,3
784,萬元,3
785,男學生,3
786,睡,3
787,最後結局,3
788,簡直,3
789,。,3
790,棺材,3
791,頭,3
792,乩,3
793,議員,3
794,遊客,3
795,不及,3
796,3000,3
797,店長,3
798,騙局,3
799,出國,3
800,喜餅,2
801,目拍,2
802,年後終,2
803,生下雙,2
804,整整,2
805,扛,2
806,崩自責,2
807,母子,2
808,不忍,2
809,粉絲,2
810,脫,2
811,制止,2
812,女童,2
813,場,2
814,不理,2
815,衝入,2
816,探望,2
817,爽放半個,2
818,金錢豹,2
819,尋,2
820,不知,2
821,成績,2
822,沉重,2
823,魚湯,2
824,今世,2
825,殯儀館,2
826,機智到,2
827,突發,2
828,園與,2
829,人家,2
830,身價,2
831,樂,2
832,一碗,2
833,摺,2
834,過世,2
835,喝酒,2
836,內,2
837,劈,2
838,樣子,2
839,家長,2
840,準備,2
841,懷疑,2
842,王節,2
843,弱,2
844,開除,2
845,丟了,2
846,山洞,2
847,算命,2
848,1600,2
849,證明,2
850,貼,2
851,星座,2
852,受苦,2
853,暖,2
854,無奈,2
855,出去,2
856,有關,2
857,晚上,2
858,台北人,2
859,網紅,2
860,旗津,2
861,現況,2
862,提醒,2
863,喊冤,2
864,求助,2
865,11,2
866,可以,2
867,本無緣,2
868,好受,2
869,看看,2
870,爆哭,2
871,!,2
